	postsynaptic_ID	counts	presynaptic_ID	partner_ID	name	top_nt	super_class	cell_class
262	720575940618304216	1	720575940604650464	720575940618304216	Tm3	acetylcholine	optic	ME>LO
263	720575940602675796	1	720575940604650464	720575940602675796	nan	nan	nan	nan
264	720575940481730298	1	720575940604650464	720575940481730298	nan	nan	nan	nan
265	720575940602802516	1	720575940604650464	720575940602802516	nan	nan	nan	nan
266	720575940501889092	1	720575940604650464	720575940501889092	nan	nan	nan	nan
267	720575940536560746	1	720575940604650464	720575940536560746	nan	nan	nan	nan
268	720575940481752314	1	720575940604650464	720575940481752314	nan	nan	nan	nan
269	720575940481742330	1	720575940604650464	720575940481742330	nan	nan	nan	nan
270	720575940584605443	1	720575940604650464	720575940584605443	nan	nan	nan	nan
271	720575940646405667	1	720575940604650464	720575940646405667	T2	acetylcholine	optic	ME>LO
272	720575940584516355	1	720575940604650464	720575940584516355	nan	nan	nan	nan
273	720575940626813758	1	720575940604650464	720575940626813758	Mi15	acetylcholine	optic	ME
274	720575940536553322	1	720575940604650464	720575940536553322	nan	nan	nan	nan
275	720575940617870098	1	720575940604650464	720575940617870098	nan	nan	nan	nan
276	720575940590985737	1	720575940604650464	720575940590985737	nan	nan	nan	nan
277	720575940625534285	21	720575940605622193	720575940625534285	L5	acetylcholine	optic	LA>ME
278	720575940622836521	19	720575940605622193	720575940622836521	L1	glutamate	optic	LA>ME
279	720575940634024403	9	720575940605622193	720575940634024403	L2	acetylcholine	optic	LA>ME
280	720575940620439209	8	720575940605622193	720575940620439209	L4	acetylcholine	optic	LA>ME
281	720575940616371485	5	720575940605622193	720575940616371485	L4	acetylcholine	optic	LA>ME
282	720575940617608633	5	720575940605622193	720575940617608633	T2	acetylcholine	optic	ME>LO
283	720575940628247890	4	720575940605622193	720575940628247890	nan	nan	nan	nan
284	720575940620272843	3	720575940605622193	720575940620272843	Tm16	acetylcholine	optic	ME>LO
285	720575940633505311	3	720575940605622193	720575940633505311	Dm9	acetylcholine	optic	ME
286	720575940627376765	3	720575940605622193	720575940627376765	Mi2	glutamate	optic	ME
287	720575940593934442	2	720575940605622193	720575940593934442	nan	nan	nan	nan
288	720575940593935210	2	720575940605622193	720575940593935210	nan	nan	nan	nan
289	720575940618311892	2	720575940605622193	720575940618311892	Mi1	acetylcholine	optic	ME
290	720575940607578068	2	720575940605622193	720575940607578068	nan	nan	nan	nan
291	720575940614209703	2	720575940605622193	720575940614209703	Tm1	acetylcholine	optic	ME>LO
292	720575940584325741	1	720575940605622193	720575940584325741	nan	nan	nan	nan
293	720575940397045162	1	720575940605622193	720575940397045162	nan	nan	nan	nan
294	720575940514391534	1	720575940605622193	720575940514391534	nan	nan	nan	nan
295	720575940402835259	1	720575940605622193	720575940402835259	nan	nan	nan	nan
296	720575940593932650	1	720575940605622193	720575940593932650	nan	nan	nan	nan
297	720575940615458060	1	720575940605622193	720575940615458060	L4	acetylcholine	optic	LA>ME
298	720575940627220099	1	720575940605622193	720575940627220099	L3	acetylcholine	optic	LA>ME
299	720575940593932906	1	720575940605622193	720575940593932906	nan	nan	nan	nan
300	720575940399406594	1	720575940605622193	720575940399406594	nan	nan	nan	nan
301	720575940627327550	1	720575940605622193	720575940627327550	Dm6	gaba	optic	ME
302	720575940402836283	1	720575940605622193	720575940402836283	nan	nan	nan	nan
303	720575940402792763	1	720575940605622193	720575940402792763	nan	nan	nan	nan
304	720575940399411714	1	720575940605622193	720575940399411714	nan	nan	nan	nan
305	720575940628348549	1	720575940605622193	720575940628348549	Dm1	gaba	optic	ME
306	720575940616278338	1	720575940605622193	720575940616278338	T1	gaba	optic	ME>LA
307	720575940397039274	1	720575940605622193	720575940397039274	nan	nan	nan	nan
308	720575940579711336	1	720575940605622193	720575940579711336	nan	nan	nan	nan
309	720575940612125914	1	720575940605622193	720575940612125914	Tm9	acetylcholine	optic	ME>LO
310	720575940619794648	1	720575940605622193	720575940619794648	Mi4	gaba	optic	ME
311	720575940617872523	1	720575940605622193	720575940617872523	CB3854	gaba	optic	ME
312	720575940626356557	46	720575940606626481	720575940626356557	L2	acetylcholine	optic	LA>ME
313	720575940624217323	39	720575940606626481	720575940624217323	L1	glutamate	optic	LA>ME
314	720575940623833066	35	720575940606626481	720575940623833066	L5	acetylcholine	optic	LA>ME
315	720575940621572800	16	720575940606626481	720575940621572800	Mi15	acetylcholine	optic	ME
316	720575940620552973	9	720575940606626481	720575940620552973	Mi1	acetylcholine	optic	ME
317	720575940620902059	7	720575940606626481	720575940620902059	L4	acetylcholine	optic	LA>ME
318	720575940615995398	6	720575940606626481	720575940615995398	L4	acetylcholine	optic	LA>ME
319	720575940618549061	5	720575940606626481	720575940618549061	Tm9	acetylcholine	optic	ME>LO
320	720575940621663659	4	720575940606626481	720575940621663659	Am	gaba	optic	LA
321	720575940633840685	4	720575940606626481	720575940633840685	R8	acetylcholine	sensory	visual
322	720575940620084091	4	720575940606626481	720575940620084091	Am	gaba	optic	LA
323	720575940610195246	3	720575940606626481	720575940610195246	L5	acetylcholine	optic	LA>ME
324	720575940618985541	3	720575940606626481	720575940618985541	L3	acetylcholine	optic	LA>ME
325	720575940523841712	3	720575940606626481	720575940523841712	nan	nan	nan	nan
326	720575940611844614	3	720575940606626481	720575940611844614	nan	nan	nan	nan
327	720575940632107033	3	720575940606626481	720575940632107033	Mi1	acetylcholine	optic	ME
